subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,3,1,Early,0,943,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,9,2,Early,0,829,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,17,3,Early,0,766,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,35,4,Early,0,1081,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,36,5,Early,0,970,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,40,6,Late,0,821,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,44,7,Late,0,918,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,47,8,Late,0,925,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,57,9,Late,0,891,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep17.wav,step17,68,10,Late,0,896,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,2,1,Early,1,1433,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,8,2,Early,1,1024,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,11,3,Early,1,822,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,24,4,Early,1,889,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,26,5,Early,1,878,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,38,6,Late,1,809,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,44,7,Late,1,791,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,48,8,Late,1,896,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,49,9,Late,1,765,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep5.wav,step05,54,10,Late,1,760,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,0,1,Early,0,1701,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,10,2,Early,1,1001,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,36,3,Early,1,1415,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,39,4,Early,1,1081,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,40,5,Early,1,874,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,41,6,Late,1,777,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,45,7,Late,0,865,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,46,8,Late,1,914,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,47,9,Late,1,1058,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep7.wav,step07,51,10,Late,1,858,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,13,1,Early,0,1153,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,14,2,Early,1,974,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,17,3,Early,1,2349,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,20,4,Early,1,1047,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,29,5,Early,1,958,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,31,6,Late,1,999,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,32,7,Late,0,2099,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,34,8,Late,1,831,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,60,9,Late,0,446,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep9.wav,step09,69,10,Late,1,777,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,7,1,Early,0,1418,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,9,2,Early,0,861,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,12,3,Early,0,876,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,15,4,Early,0,936,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,21,5,Early,1,1982,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,30,6,Late,1,1230,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,42,7,Late,0,848,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,55,8,Late,0,695,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,57,9,Late,1,1261,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep11.wav,step11,64,10,Late,1,1247,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep13.wav,step13,1,1,Early,0,2330,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep13.wav,step13,18,2,Early,0,987,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep13.wav,step13,23,3,Early,0,815,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep13.wav,step13,33,4,Early,0,685,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
SubjectBase003,1010subject269baseline,baseline,asee_shstep13.wav,step13,53,5,Early,0,737,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
