"","subject","condition","audio","step","sAnswer","rt","stepRepetition","trial","phase"
"184","AAM03","AAM","asee_shstep07",7,1,581,7,3,"Late"
"185","AAM03","AAM","asee_shstep09",9,1,694,7,5,"Late"
"186","AAM03","AAM","asee_shstep11",11,0,648,7,6,"Late"
"187","AAM03","AAM","asee_shstep13",13,0,690,7,2,"Late"
"188","AAM03","AAM","asee_shstep15",15,0,587,7,0,"Late"
"189","AAM03","AAM","asee_shstep17",17,0,622,7,4,"Late"
"190","AAM03","AAM","asee_shstep05",5,1,649,8,5,"Late"
"191","AAM03","AAM","asee_shstep07",7,1,708,8,1,"Late"
"192","AAM03","AAM","asee_shstep09",9,1,1099,8,6,"Late"
"193","AAM03","AAM","asee_shstep11",11,0,745,8,3,"Late"
"194","AAM03","AAM","asee_shstep13",13,0,626,8,2,"Late"
"195","AAM03","AAM","asee_shstep15",15,0,462,8,4,"Late"
"196","AAM03","AAM","asee_shstep17",17,0,741,8,0,"Late"
"197","AAM03","AAM","asee_shstep05",5,1,629,9,3,"Late"
"198","AAM03","AAM","asee_shstep07",7,1,605,9,2,"Late"
"199","AAM03","AAM","asee_shstep09",9,1,1158,9,1,"Late"
"200","AAM03","AAM","asee_shstep11",11,0,669,9,6,"Late"
"201","AAM03","AAM","asee_shstep13",13,0,611,9,4,"Late"
"202","AAM03","AAM","asee_shstep15",15,0,644,9,0,"Late"
"203","AAM03","AAM","asee_shstep17",17,0,760,9,5,"Late"
"204","AAM03","AAM","asee_shstep05",5,1,669,10,3,"Late"
"205","AAM03","AAM","asee_shstep07",7,1,627,10,5,"Late"
"206","AAM03","AAM","asee_shstep09",9,1,734,10,1,"Late"
"207","AAM03","AAM","asee_shstep11",11,0,537,10,6,"Late"
"208","AAM03","AAM","asee_shstep13",13,0,406,10,4,"Late"
"209","AAM03","AAM","asee_shstep15",15,0,472,10,0,"Late"
"210","AAM03","AAM","asee_shstep17",17,0,517,10,2,"Late"
"211","AAM04","AAM","asee_shstep05",5,1,845,1,4,"Early"
"212","AAM04","AAM","asee_shstep07",7,1,1200,1,1,"Early"
"213","AAM04","AAM","asee_shstep09",9,1,847,1,6,"Early"
"214","AAM04","AAM","asee_shstep11",11,0,816,1,0,"Early"
"215","AAM04","AAM","asee_shstep13",13,0,1551,1,5,"Early"
"216","AAM04","AAM","asee_shstep15",15,0,674,1,3,"Early"
"217","AAM04","AAM","asee_shstep17",17,0,1093,1,2,"Early"
"218","AAM04","AAM","asee_shstep05",5,1,879,2,1,"Early"
"219","AAM04","AAM","asee_shstep07",7,1,861,2,6,"Early"
"220","AAM04","AAM","asee_shstep09",9,1,1252,2,4,"Early"
"221","AAM04","AAM","asee_shstep11",11,0,1025,2,3,"Early"
"222","AAM04","AAM","asee_shstep13",13,0,726,2,2,"Early"
