,subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
74,Subject002,1010subject452,aam,asee_shstep9.wav,9,17,1,Early,1,926,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
75,Subject002,1010subject452,aam,asee_shstep9.wav,9,30,2,Early,1,815,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
76,Subject002,1010subject452,aam,asee_shstep9.wav,9,32,3,Early,1,827,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
77,Subject002,1010subject452,aam,asee_shstep9.wav,9,33,4,Early,1,858,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
78,Subject002,1010subject452,aam,asee_shstep9.wav,9,38,5,Early,0,887,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
79,Subject002,1010subject452,aam,asee_shstep9.wav,9,43,6,Late,1,782,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
80,Subject002,1010subject452,aam,asee_shstep9.wav,9,46,7,Late,1,806,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
81,Subject002,1010subject452,aam,asee_shstep9.wav,9,62,8,Late,1,607,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
82,Subject002,1010subject452,aam,asee_shstep13.wav,13,3,2,Early,0,745,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
83,Subject002,1010subject452,aam,asee_shstep13.wav,13,5,3,Early,0,649,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
84,Subject002,1010subject452,aam,asee_shstep13.wav,13,13,4,Early,1,1222,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
85,Subject002,1010subject452,aam,asee_shstep13.wav,13,15,5,Early,0,801,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
86,Subject002,1010subject452,aam,asee_shstep13.wav,13,16,6,Late,0,711,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
87,Subject002,1010subject452,aam,asee_shstep13.wav,13,20,7,Late,1,672,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
88,Subject002,1010subject452,aam,asee_shstep13.wav,13,39,8,Late,0,761,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
89,Subject002,1010subject452,aam,asee_shstep13.wav,13,44,9,Late,0,782,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
90,Subject002,1010subject452,aam,asee_shstep13.wav,13,56,10,Late,1,696,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
91,Subject002,1010subject452,aam,asee_shstep15.wav,15,4,1,Early,0,762,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
92,Subject002,1010subject452,aam,asee_shstep15.wav,15,8,2,Early,0,790,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
93,Subject002,1010subject452,aam,asee_shstep15.wav,15,18,3,Early,0,818,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
94,Subject002,1010subject452,aam,asee_shstep15.wav,15,29,4,Early,0,865,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
95,Subject002,1010subject452,aam,asee_shstep15.wav,15,31,5,Early,0,816,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
96,Subject002,1010subject452,aam,asee_shstep15.wav,15,42,6,Late,0,1561,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
