subject,condition,word,wordType,grammarType,trial,nounAnswer,nounAnswer2,rt
AAM04,aam,animal,filler,noun,29,1,noun,1017
AAM04,aam,annoying,filler,notnoun,79,0,notnoun,1221
AAM04,aam,appear,filler,notnoun,2,0,notnoun,1318
AAM04,aam,around,filler,notnoun,19,0,notnoun,1761
AAM04,aam,avenue,filler,noun,78,1,noun,1625
AAM04,aam,bakery,filler,noun,96,1,noun,830
AAM04,aam,ballerina,filler,noun,43,1,noun,873
AAM04,aam,basementstep11,critical,noun,18,1,noun,1078
AAM04,aam,beauty,filler,noun,59,0,notnoun,1421
AAM04,aam,become,filler,notnoun,73,0,notnoun,1061
AAM04,aam,brain,filler,noun,0,1,noun,867
AAM04,aam,camera,filler,noun,26,1,noun,997
AAM04,aam,casserolestep12,critical,noun,54,0,notnoun,865
AAM04,aam,ciderstep9,critical,noun,4,1,noun,1082
AAM04,aam,degree,filler,noun,23,0,notnoun,1073
AAM04,aam,depend,filler,notnoun,58,0,notnoun,1285
AAM04,aam,develop,filler,notnoun,25,0,notnoun,1594
AAM04,aam,document,filler,noun,11,1,noun,2263
AAM04,aam,dragon,filler,noun,92,1,noun,1368
AAM04,aam,embody,filler,notnoun,80,0,notnoun,1739
AAM04,aam,energy,filler,noun,30,0,notnoun,1909
AAM04,aam,engine,filler,noun,72,1,noun,1375
AAM04,aam,enroll,filler,notnoun,22,0,notnoun,1211
AAM04,aam,eternal,filler,notnoun,33,0,notnoun,1033
AAM04,aam,evolve,filler,notnoun,13,0,notnoun,1116
AAM04,aam,failure,filler,noun,49,0,notnoun,1674
AAM04,aam,family,filler,noun,5,1,noun,1854
AAM04,aam,felony,filler,noun,3,0,notnoun,974
AAM04,aam,freeze,filler,notnoun,36,0,notnoun,2475
AAM04,aam,fumble,filler,notnoun,60,0,notnoun,1380
AAM04,aam,garden,filler,noun,32,1,noun,2377
AAM04,aam,gasolinestep11,critical,noun,82,1,noun,1675
AAM04,aam,global,filler,notnoun,8,0,notnoun,1561
AAM04,aam,grapple,filler,notnoun,50,0,notnoun,1599
AAM04,aam,guilty,filler,notnoun,56,0,notnoun,1434
AAM04,aam,gullible,filler,notnoun,93,0,notnoun,1101
AAM04,aam,hamburger,filler,noun,46,1,noun,1026
AAM04,aam,harmful,filler,notnoun,68,0,notnoun,1466
AAM04,aam,hidden,filler,notnoun,52,0,notnoun,1252
AAM04,aam,honeymoon,filler,noun,94,0,notnoun,1367
AAM04,aam,human,filler,noun,6,1,noun,849
AAM04,aam,ignore,filler,notnoun,75,0,notnoun,1005
AAM04,aam,image,filler,noun,66,1,noun,1265
AAM04,aam,immoral,filler,notnoun,70,0,notnoun,1268
AAM04,aam,immune,filler,notnoun,48,0,notnoun,1224
AAM04,aam,ironic,filler,notnoun,44,0,notnoun,1129
AAM04,aam,kidnap,filler,notnoun,12,0,notnoun,1751
AAM04,aam,lawyer,filler,noun,55,1,noun,896
AAM04,aam,lunatic,filler,notnoun,90,1,noun,1048
AAM04,aam,manually,filler,notnoun,77,0,notnoun,1791
AAM04,aam,marina,filler,noun,63,0,notnoun,1617
AAM04,aam,military,filler,noun,1,0,notnoun,1131
AAM04,aam,mineral,filler,noun,35,1,noun,1570
AAM04,aam,momentary,filler,notnoun,97,0,notnoun,1289
AAM04,aam,occupy,filler,notnoun,47,0,notnoun,1037
AAM04,aam,omelet,filler,noun,27,1,noun,1112
AAM04,aam,opaque,filler,notnoun,85,0,notnoun,1389
AAM04,aam,orbital,filler,notnoun,37,0,notnoun,1234
AAM04,aam,overcome,filler,notnoun,76,0,notnoun,1292
AAM04,aam,parable,filler,noun,99,0,notnoun,1344
AAM04,aam,parrot,filler,noun,31,1,noun,837
AAM04,aam,pineapple,filler,noun,34,1,noun,1243
AAM04,aam,recovery,filler,noun,28,0,notnoun,1029
AAM04,aam,regular,filler,notnoun,88,0,notnoun,1246
AAM04,aam,relate,filler,notnoun,17,0,notnoun,1346
AAM04,aam,remedial,filler,notnoun,71,0,notnoun,1606
AAM04,aam,remind,filler,notnoun,61,0,notnoun,1419
AAM04,aam,romantic,filler,notnoun,40,0,notnoun,1205
AAM04,aam,royalty,filler,noun,7,0,notnoun,1866
AAM04,aam,sabrestep10,critical,noun,39,0,notnoun,1201
AAM04,aam,saltystep14,critical,notnoun,62,0,notnoun,1200
AAM04,aam,sandalstep11,critical,noun,83,1,noun,898
AAM04,aam,seaweedstep12,critical,noun,9,0,notnoun,1654
AAM04,aam,secludedstep10,critical,notnoun,57,0,notnoun,1451
AAM04,aam,secondstep11,critical,noun,98,0,notnoun,2205
AAM04,aam,severalstep9,critical,notnoun,45,0,notnoun,1797
AAM04,aam,sidewalkstep8,critical,noun,38,1,noun,1432
AAM04,aam,silverstep10,critical,noun,89,0,notnoun,1121
AAM04,aam,similarstep10,critical,notnoun,69,0,notnoun,1310
AAM04,aam,solidstep12,critical,notnoun,84,0,notnoun,1378
