subject,condition,audio,step,sAnswer,rt,stepRepetition,trial
AAM04,AAM,asee_shstep15,15,0,695,3,4
AAM04,AAM,asee_shstep17,17,0,561,3,6
AAM04,AAM,asee_shstep05,5,0,343,4,0
AAM04,AAM,asee_shstep07,7,1,836,4,6
AAM04,AAM,asee_shstep09,9,1,853,4,2
AAM04,AAM,asee_shstep11,11,1,895,4,5
AAM04,AAM,asee_shstep13,13,0,1030,4,4
AAM04,AAM,asee_shstep15,15,0,809,4,1
AAM04,AAM,asee_shstep17,17,0,845,4,3
AAM04,AAM,asee_shstep05,5,1,720,5,2
AAM04,AAM,asee_shstep07,7,1,713,5,4
AAM04,AAM,asee_shstep09,9,1,882,5,3
AAM04,AAM,asee_shstep11,11,0,964,5,1
AAM04,AAM,asee_shstep13,13,0,916,5,0
AAM04,AAM,asee_shstep15,15,0,736,5,5
AAM04,AAM,asee_shstep17,17,0,885,5,6
AAM04,AAM,asee_shstep05,5,1,746,6,2
AAM04,AAM,asee_shstep07,7,1,785,6,0
AAM04,AAM,asee_shstep09,9,1,845,6,4
AAM04,AAM,asee_shstep11,11,0,892,6,5
AAM04,AAM,asee_shstep13,13,0,936,6,6
AAM04,AAM,asee_shstep15,15,0,971,6,3
AAM04,AAM,asee_shstep17,17,0,683,6,1
AAM04,AAM,asee_shstep05,5,1,925,7,1
AAM04,AAM,asee_shstep07,7,1,944,7,3
AAM04,AAM,asee_shstep09,9,1,882,7,5
AAM04,AAM,asee_shstep11,11,1,891,7,6
AAM04,AAM,asee_shstep13,13,0,1268,7,2
AAM04,AAM,asee_shstep15,15,0,533,7,0
AAM04,AAM,asee_shstep17,17,0,681,7,4
AAM04,AAM,asee_shstep05,5,1,853,8,5
AAM04,AAM,asee_shstep07,7,1,674,8,1
AAM04,AAM,asee_shstep09,9,1,842,8,6
AAM04,AAM,asee_shstep11,11,1,830,8,3
AAM04,AAM,asee_shstep13,13,1,1153,8,2
AAM04,AAM,asee_shstep15,15,0,787,8,4
AAM04,AAM,asee_shstep17,17,0,871,8,0
AAM04,AAM,asee_shstep05,5,1,708,9,3
AAM04,AAM,asee_shstep07,7,1,756,9,2
AAM04,AAM,asee_shstep09,9,1,735,9,1
AAM04,AAM,asee_shstep11,11,0,944,9,6
AAM04,AAM,asee_shstep13,13,0,863,9,4
AAM04,AAM,asee_shstep15,15,0,843,9,0
AAM04,AAM,asee_shstep17,17,0,663,9,5
AAM04,AAM,asee_shstep05,5,1,714,10,3
AAM04,AAM,asee_shstep07,7,1,624,10,5
AAM04,AAM,asee_shstep09,9,1,766,10,1
