subject,condition,word,step,sAnswer,rt,trial,pass,phase
Subject004,aam,asee_shstep17.wav,17,0,1240,14,1,Early
Subject004,aam,asee_shstep17.wav,17,0,1255,16,2,Early
Subject004,aam,asee_shstep17.wav,17,0,1032,47,7,Late
Subject004,aam,asee_shstep17.wav,17,0,1190,31,4,Early
Subject004,aam,asee_shstep17.wav,17,0,1161,41,5,Early
Subject004,aam,asee_shstep17.wav,17,0,1134,46,6,Late
Subject004,aam,asee_shstep17.wav,17,0,1066,58,8,Late
Subject004,aam,asee_shstep17.wav,17,0,1204,66,9,Late
Subject004,aam,asee_shstep17.wav,17,0,1124,68,10,Late
Subject005,bam,asee_shstep15.wav,15,0,777,2,1,Early
Subject005,bam,asee_shstep15.wav,15,0,508,52,9,Late
Subject005,bam,asee_shstep15.wav,15,0,919,55,10,Late
Subject005,bam,asee_shstep17.wav,17,0,1364,0,1,Early
Subject005,bam,asee_shstep17.wav,17,0,748,3,2,Early
Subject005,bam,asee_shstep17.wav,17,0,657,5,3,Early
Subject005,bam,asee_shstep17.wav,17,0,1568,17,4,Early
Subject005,bam,asee_shstep15.wav,15,1,927,9,2,Early
Subject005,bam,asee_shstep15.wav,15,0,1148,15,3,Early
Subject005,bam,asee_shstep15.wav,15,0,1217,18,4,Early
Subject005,bam,asee_shstep15.wav,15,0,848,25,5,Early
Subject005,bam,asee_shstep15.wav,15,0,769,36,6,Late
Subject005,bam,asee_shstep15.wav,15,0,819,40,7,Late
Subject005,bam,asee_shstep15.wav,15,0,768,43,8,Late
Subject005,bam,asee_shstep5.wav,5,1,1021,4,1,Early
Subject005,bam,asee_shstep5.wav,5,0,727,13,2,Early
Subject005,bam,asee_shstep5.wav,5,0,1847,19,3,Early
Subject005,bam,asee_shstep5.wav,5,0,1479,24,4,Early
Subject005,bam,asee_shstep5.wav,5,1,998,26,5,Early
Subject005,bam,asee_shstep5.wav,5,1,1488,34,6,Late
Subject005,bam,asee_shstep5.wav,5,1,938,41,7,Late
Subject005,bam,asee_shstep5.wav,5,1,967,42,8,Late
Subject005,bam,asee_shstep5.wav,5,1,1228,60,9,Late
Subject005,bam,asee_shstep5.wav,5,1,904,63,10,Late
Subject005,bam,asee_shstep7.wav,7,0,818,22,1,Early
Subject005,bam,asee_shstep7.wav,7,0,679,33,2,Early
Subject005,bam,asee_shstep7.wav,7,0,748,45,3,Early
Subject005,bam,asee_shstep7.wav,7,1,1088,46,4,Early
Subject005,bam,asee_shstep7.wav,7,0,758,49,5,Early
Subject005,bam,asee_shstep7.wav,7,1,1138,53,6,Late
Subject005,bam,asee_shstep7.wav,7,0,778,54,7,Late
Subject005,bam,asee_shstep7.wav,7,1,1018,61,8,Late
Subject005,bam,asee_shstep7.wav,7,1,1044,62,9,Late
Subject005,bam,asee_shstep7.wav,7,1,888,69,10,Late
Subject005,bam,asee_shstep17.wav,17,0,858,23,5,Early
Subject005,bam,asee_shstep17.wav,17,1,738,28,6,Late
Subject005,bam,asee_shstep17.wav,17,0,1289,31,7,Late
Subject005,bam,asee_shstep17.wav,17,0,798,35,8,Late
Subject005,bam,asee_shstep17.wav,17,0,1149,39,9,Late
Subject005,bam,asee_shstep17.wav,17,0,829,57,10,Late
Subject005,bam,asee_shstep9.wav,9,0,829,48,7,Late
Subject005,bam,asee_shstep9.wav,9,0,778,59,8,Late
Subject005,bam,asee_shstep9.wav,9,0,868,64,9,Late
Subject005,bam,asee_shstep9.wav,9,0,568,65,10,Late
Subject005,bam,asee_shstep11.wav,11,0,1302,10,1,Early
Subject005,bam,asee_shstep11.wav,11,0,828,11,2,Early
Subject005,bam,asee_shstep11.wav,11,0,1017,20,3,Early
Subject005,bam,asee_shstep11.wav,11,0,819,27,4,Early
Subject005,bam,asee_shstep11.wav,11,0,1209,32,5,Early
Subject005,bam,asee_shstep11.wav,11,0,708,44,6,Late
Subject005,bam,asee_shstep11.wav,11,0,718,47,7,Late
Subject005,bam,asee_shstep11.wav,11,0,608,66,8,Late
Subject005,bam,asee_shstep11.wav,11,0,1478,67,9,Late
Subject005,bam,asee_shstep11.wav,11,0,1198,68,10,Late
Subject005,bam,asee_shstep13.wav,13,0,1137,7,1,Early
Subject005,bam,asee_shstep13.wav,13,0,827,14,2,Early
Subject005,bam,asee_shstep13.wav,13,0,837,16,3,Early
Subject005,bam,asee_shstep13.wav,13,0,888,21,4,Early
Subject005,bam,asee_shstep13.wav,13,0,594,37,5,Early
Subject005,bam,asee_shstep13.wav,13,0,728,38,6,Late
Subject005,bam,asee_shstep13.wav,13,0,1154,50,7,Late
Subject005,bam,asee_shstep13.wav,13,0,703,51,8,Late
Subject005,bam,asee_shstep13.wav,13,0,879,56,9,Late
Subject005,bam,asee_shstep13.wav,13,0,778,58,10,Late
Subject005,bam,asee_shstep9.wav,9,0,960,12,4,Early
Subject005,bam,asee_shstep9.wav,9,0,719,29,5,Early
Subject005,bam,asee_shstep9.wav,9,0,618,30,6,Late
Subject005,bam,asee_shstep9.wav,9,0,727,6,2,Early
Subject005,bam,asee_shstep9.wav,9,0,1129,8,3,Early
Subject005,bam,asee_shstep9.wav,9,0,877,1,1,Early
Subject007,aam,asee_shstep13.wav,13,0,1040,28,5,Early
Subject007,aam,asee_shstep13.wav,13,0,709,17,2,Early
Subject007,aam,asee_shstep13.wav,13,0,811,18,3,Early
Subject007,aam,asee_shstep13.wav,13,0,1594,20,4,Early
Subject007,aam,asee_shstep11.wav,11,0,1306,39,5,Early
Subject007,aam,asee_shstep11.wav,11,0,1009,42,6,Late
Subject007,aam,asee_shstep11.wav,11,0,987,44,7,Late
Subject007,aam,asee_shstep11.wav,11,0,568,52,8,Late
Subject007,aam,asee_shstep11.wav,11,0,1404,56,9,Late
Subject007,aam,asee_shstep11.wav,11,0,1029,69,10,Late
Subject007,aam,asee_shstep13.wav,13,0,2638,14,1,Early
Subject007,aam,asee_shstep5.wav,5,1,1047,24,1,Early
Subject007,aam,asee_shstep5.wav,5,1,840,29,2,Early
Subject007,aam,asee_shstep5.wav,5,1,979,30,3,Early
Subject007,aam,asee_shstep5.wav,5,1,834,31,4,Early
Subject007,aam,asee_shstep13.wav,13,0,1350,36,6,Late
Subject007,aam,asee_shstep13.wav,13,0,744,38,7,Late
Subject007,aam,asee_shstep13.wav,13,0,884,45,8,Late
Subject007,aam,asee_shstep13.wav,13,0,899,50,9,Late
Subject007,aam,asee_shstep13.wav,13,0,862,57,10,Late
Subject007,aam,asee_shstep15.wav,15,0,715,7,1,Early
Subject007,aam,asee_shstep15.wav,15,0,752,15,2,Early
Subject007,aam,asee_shstep15.wav,15,0,747,16,3,Early
Subject007,aam,asee_shstep15.wav,15,0,808,26,4,Early
Subject007,aam,asee_shstep15.wav,15,0,866,27,5,Early
Subject007,aam,asee_shstep15.wav,15,0,1063,35,6,Late
Subject007,aam,asee_shstep15.wav,15,0,998,37,7,Late
Subject007,aam,asee_shstep15.wav,15,0,948,49,8,Late
Subject007,aam,asee_shstep15.wav,15,0,686,58,9,Late
Subject007,aam,asee_shstep15.wav,15,0,622,59,10,Late
Subject007,aam,asee_shstep17.wav,17,0,1263,4,1,Early
Subject007,aam,asee_shstep17.wav,17,0,712,6,2,Early
Subject007,aam,asee_shstep17.wav,17,0,688,9,3,Early
Subject007,aam,asee_shstep17.wav,17,0,679,10,4,Early
Subject007,aam,asee_shstep17.wav,17,0,710,11,5,Early
Subject007,aam,asee_shstep17.wav,17,0,922,46,6,Late
Subject007,aam,asee_shstep17.wav,17,0,709,47,7,Late
Subject007,aam,asee_shstep17.wav,17,0,660,53,8,Late
Subject007,aam,asee_shstep17.wav,17,0,583,60,9,Late
Subject007,aam,asee_shstep17.wav,17,0,724,66,10,Late
Subject007,aam,asee_shstep9.wav,9,1,1172,68,10,Late
Subject007,aam,asee_shstep11.wav,11,0,1056,5,1,Early
Subject007,aam,asee_shstep11.wav,11,1,1409,21,2,Early
Subject007,aam,asee_shstep11.wav,11,0,1419,25,3,Early
Subject007,aam,asee_shstep11.wav,11,0,1032,33,4,Early
Subject007,aam,asee_shstep5.wav,5,0,476,54,8,Late
Subject007,aam,asee_shstep5.wav,5,1,957,64,9,Late
Subject007,aam,asee_shstep5.wav,5,1,972,65,10,Late
Subject007,aam,asee_shstep7.wav,7,1,1564,2,2,Early
Subject007,aam,asee_shstep7.wav,7,1,921,8,3,Early
Subject007,aam,asee_shstep7.wav,7,1,740,12,4,Early
Subject007,aam,asee_shstep7.wav,7,1,829,23,5,Early
Subject007,aam,asee_shstep7.wav,7,1,876,34,6,Late
Subject007,aam,asee_shstep7.wav,7,1,878,48,7,Late
Subject007,aam,asee_shstep5.wav,5,1,1674,32,5,Early
Subject007,aam,asee_shstep5.wav,5,1,830,40,6,Late
Subject007,aam,asee_shstep5.wav,5,1,707,51,7,Late
Subject007,aam,asee_shstep9.wav,9,1,1443,3,2,Early
Subject007,aam,asee_shstep9.wav,9,1,663,13,3,Early
Subject007,aam,asee_shstep9.wav,9,1,1834,19,4,Early
Subject007,aam,asee_shstep9.wav,9,1,1699,22,5,Early
Subject007,aam,asee_shstep9.wav,9,1,651,41,6,Late
Subject007,aam,asee_shstep9.wav,9,0,1956,43,7,Late
Subject007,aam,asee_shstep9.wav,9,1,2502,55,8,Late
Subject007,aam,asee_shstep9.wav,9,1,805,67,9,Late
Subject007,aam,asee_shstep7.wav,7,1,794,61,8,Late
Subject007,aam,asee_shstep7.wav,7,1,765,62,9,Late
Subject007,aam,asee_shstep7.wav,7,1,641,63,10,Late
Subject008,bam,asee_shstep7.wav,7,1,801,33,5,Early
Subject008,bam,asee_shstep5.wav,5,1,1065,18,6,Late
Subject008,bam,asee_shstep5.wav,5,1,922,38,7,Late
Subject008,bam,asee_shstep5.wav,5,1,993,48,8,Late
Subject008,bam,asee_shstep5.wav,5,1,1189,56,9,Late
Subject008,bam,asee_shstep5.wav,5,1,1060,66,10,Late
Subject008,bam,asee_shstep7.wav,7,0,4595,0,1,Early
Subject008,bam,asee_shstep7.wav,7,1,989,13,2,Early
Subject008,bam,asee_shstep7.wav,7,1,1407,22,3,Early
Subject008,bam,asee_shstep7.wav,7,1,1025,24,4,Early
Subject008,bam,asee_shstep5.wav,5,0,3233,1,1,Early
