subject,condition,word,step,sAnswer,rt,trial,pass,phase
AAM04,aam,asee_shstep07,7,1,944,3,7,Late
AAM04,aam,asee_shstep09,9,1,882,5,7,Late
AAM04,aam,asee_shstep11,11,1,891,6,7,Late
AAM04,aam,asee_shstep13,13,0,1268,2,7,Late
AAM04,aam,asee_shstep15,15,0,533,0,7,Late
AAM04,aam,asee_shstep17,17,0,681,4,7,Late
AAM04,aam,asee_shstep05,5,1,853,5,8,Late
AAM04,aam,asee_shstep07,7,1,674,1,8,Late
AAM04,aam,asee_shstep09,9,1,842,6,8,Late
AAM04,aam,asee_shstep11,11,1,830,3,8,Late
AAM04,aam,asee_shstep13,13,1,1153,2,8,Late
AAM04,aam,asee_shstep15,15,0,787,4,8,Late
AAM04,aam,asee_shstep17,17,0,871,0,8,Late
AAM04,aam,asee_shstep05,5,1,708,3,9,Late
AAM04,aam,asee_shstep07,7,1,756,2,9,Late
AAM04,aam,asee_shstep09,9,1,735,1,9,Late
AAM04,aam,asee_shstep11,11,0,944,6,9,Late
AAM04,aam,asee_shstep13,13,0,863,4,9,Late
AAM04,aam,asee_shstep15,15,0,843,0,9,Late
AAM04,aam,asee_shstep17,17,0,663,5,9,Late
AAM04,aam,asee_shstep05,5,1,714,3,10,Late
AAM04,aam,asee_shstep07,7,1,624,5,10,Late
AAM04,aam,asee_shstep09,9,1,766,1,10,Late
AAM04,aam,asee_shstep11,11,1,976,6,10,Late
AAM04,aam,asee_shstep13,13,1,1340,4,10,Late
AAM04,aam,asee_shstep15,15,0,576,0,10,Late
AAM04,aam,asee_shstep17,17,0,630,2,10,Late
AAM05,aam,asee_shstep05,5,1,1408,0,1,Early
AAM05,aam,asee_shstep07,7,0,1140,4,1,Early
AAM05,aam,asee_shstep09,9,0,942,1,1,Early
AAM05,aam,asee_shstep11,11,0,652,6,1,Early
AAM05,aam,asee_shstep13,13,0,755,5,1,Early
AAM05,aam,asee_shstep15,15,0,772,3,1,Early
AAM05,aam,asee_shstep17,17,0,938,2,1,Early
AAM05,aam,asee_shstep05,5,1,686,2,2,Early
AAM05,aam,asee_shstep07,7,1,617,3,2,Early
AAM05,aam,asee_shstep09,9,1,792,6,2,Early
AAM05,aam,asee_shstep11,11,1,1064,0,2,Early
AAM05,aam,asee_shstep13,13,0,515,1,2,Early
AAM05,aam,asee_shstep15,15,0,390,4,2,Early
AAM05,aam,asee_shstep17,17,0,630,5,2,Early
AAM05,aam,asee_shstep05,5,1,566,6,3,Early
AAM05,aam,asee_shstep07,7,1,522,2,3,Early
AAM05,aam,asee_shstep09,9,0,518,4,3,Early
AAM05,aam,asee_shstep11,11,0,932,5,3,Early
AAM05,aam,asee_shstep13,13,0,867,3,3,Early
AAM05,aam,asee_shstep15,15,0,643,0,3,Early
AAM05,aam,asee_shstep17,17,0,377,1,3,Early
AAM05,aam,asee_shstep05,5,1,527,0,4,Early
AAM05,aam,asee_shstep07,7,1,626,1,4,Early
AAM05,aam,asee_shstep09,9,0,937,5,4,Early
AAM05,aam,asee_shstep11,11,0,755,2,4,Early
AAM05,aam,asee_shstep13,13,0,621,6,4,Early
AAM05,aam,asee_shstep15,15,0,566,3,4,Early
AAM05,aam,asee_shstep17,17,0,893,4,4,Early
AAM05,aam,asee_shstep05,5,1,549,1,5,Early
AAM05,aam,asee_shstep07,7,1,609,2,5,Early
AAM05,aam,asee_shstep09,9,1,710,5,5,Early
AAM05,aam,asee_shstep11,11,0,459,3,5,Early
AAM05,aam,asee_shstep13,13,0,515,6,5,Early
AAM05,aam,asee_shstep15,15,0,637,4,5,Early
AAM05,aam,asee_shstep17,17,0,642,0,5,Early
AAM05,aam,asee_shstep05,5,1,745,5,6,Late
AAM05,aam,asee_shstep07,7,1,760,6,6,Late
AAM05,aam,asee_shstep09,9,0,347,4,6,Late
AAM05,aam,asee_shstep11,11,1,728,2,6,Late
AAM05,aam,asee_shstep13,13,0,357,0,6,Late
AAM05,aam,asee_shstep15,15,0,684,3,6,Late
AAM05,aam,asee_shstep17,17,0,507,1,6,Late
AAM05,aam,asee_shstep05,5,1,532,6,7,Late
AAM05,aam,asee_shstep07,7,1,945,4,7,Late
AAM05,aam,asee_shstep09,9,1,749,1,7,Late
AAM05,aam,asee_shstep11,11,0,488,0,7,Late
AAM05,aam,asee_shstep13,13,0,583,5,7,Late
AAM05,aam,asee_shstep15,15,0,571,3,7,Late
AAM05,aam,asee_shstep17,17,0,563,2,7,Late
AAM05,aam,asee_shstep05,5,1,516,0,8,Late
AAM05,aam,asee_shstep07,7,1,667,3,8,Late
AAM05,aam,asee_shstep09,9,1,922,6,8,Late
AAM05,aam,asee_shstep11,11,0,769,5,8,Late
AAM05,aam,asee_shstep13,13,0,584,1,8,Late
AAM05,aam,asee_shstep15,15,0,466,2,8,Late
AAM05,aam,asee_shstep17,17,0,545,4,8,Late
AAM05,aam,asee_shstep05,5,1,519,5,9,Late
AAM05,aam,asee_shstep07,7,1,767,3,9,Late
AAM05,aam,asee_shstep09,9,1,593,6,9,Late
AAM05,aam,asee_shstep11,11,0,526,1,9,Late
AAM05,aam,asee_shstep13,13,0,619,0,9,Late
AAM05,aam,asee_shstep15,15,0,559,2,9,Late
AAM05,aam,asee_shstep17,17,0,652,4,9,Late
AAM05,aam,asee_shstep05,5,1,667,0,10,Late
AAM05,aam,asee_shstep07,7,1,812,4,10,Late
AAM05,aam,asee_shstep09,9,1,1472,2,10,Late
AAM05,aam,asee_shstep11,11,1,790,1,10,Late
AAM05,aam,asee_shstep13,13,0,1002,3,10,Late
AAM05,aam,asee_shstep15,15,0,639,5,10,Late
AAM05,aam,asee_shstep17,17,0,499,6,10,Late
AAM06,aam,asee_shstep05,5,1,948,2,1,Early
AAM06,aam,asee_shstep07,7,1,918,5,1,Early
AAM06,aam,asee_shstep09,9,1,1179,6,1,Early
AAM06,aam,asee_shstep11,11,1,853,0,1,Early
AAM06,aam,asee_shstep13,13,1,1076,3,1,Early
AAM06,aam,asee_shstep15,15,1,1077,4,1,Early
AAM06,aam,asee_shstep17,17,1,1814,1,1,Early
AAM06,aam,asee_shstep05,5,1,948,2,2,Early
AAM06,aam,asee_shstep07,7,1,926,6,2,Early
AAM06,aam,asee_shstep09,9,1,738,1,2,Early
AAM06,aam,asee_shstep11,11,1,1012,4,2,Early
AAM06,aam,asee_shstep13,13,1,966,3,2,Early
AAM06,aam,asee_shstep15,15,0,662,0,2,Early
AAM06,aam,asee_shstep17,17,0,1125,5,2,Early
AAM06,aam,asee_shstep05,5,1,902,5,3,Early
AAM06,aam,asee_shstep07,7,1,876,4,3,Early
AAM06,aam,asee_shstep09,9,1,777,2,3,Early
AAM06,aam,asee_shstep11,11,1,928,6,3,Early
AAM06,aam,asee_shstep13,13,0,1346,3,3,Early
AAM06,aam,asee_shstep15,15,0,1005,1,3,Early
AAM06,aam,asee_shstep17,17,0,878,0,3,Early
AAM06,aam,asee_shstep05,5,1,853,6,4,Early
AAM06,aam,asee_shstep07,7,1,942,3,4,Early
AAM06,aam,asee_shstep09,9,1,770,5,4,Early
