subject,id,condition,word,trial,nounAnswer,rt,grammarType,wordType,sex,hearing,lang,equip
Subject001,1010subject156,bam,image,76,1,1219,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,occupy,77,0,1647,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,appear,78,0,1290,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,momentary,79,0,2690,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,remedial,8,1,1295,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,hamburger,80,1,1370,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,arkansasstep10,81,1,1347,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,develop,82,0,1473,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,opaque,83,0,2147,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,manually,84,0,4970,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,lawyer,85,1,1557,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,yoghurt,86,1,6648,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,garden,87,1,1321,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,arthritisstep8,88,1,2011,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,peninsulastep11,89,1,1118,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,kidnap,9,0,2920,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,evolve,90,1,1995,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,ballerina,91,1,1293,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,avenue,92,1,1405,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,eraserstep8,93,1,1335,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,overcome,94,0,1603,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,become,95,0,1385,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,depend,96,0,1094,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,unique,97,0,1287,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,homogeneousstep11,98,0,1602,notnoun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,ignore,99,0,1425,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,bakery,0,1,2754,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject002,1010subject452,aam,document,1,1,2017,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,fumble,10,0,1422,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,pineapple,11,1,1600,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,wrinkle,12,0,1215,noun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
Subject002,1010subject452,aam,depend,13,0,1666,notnoun,filler,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
